researched_date,timezone,route,priority,style,colorway,size_system,size,size_status,page_region,currency,sell_now_index,bid_orderbook,buy_now_ask_index,last_sale_index,price_crawl_label,price_url,price_status,all_sizes_sales_last_3_months,volume_crawl_label,volume_url,volume_scope,dewu_current_same_size_cost_cny,dewu_current_price_url,china_seller_live_net_payout_cny,purchase_eligible,base_balance_scenario_cny,stress_balance_scenario_cny,total_cost_budget_after_150_profit_cny
2026-09-18,Asia/Shanghai,Dewu China to StockX China seller,1,M2002RDA,Rain Cloud/Grey,US Men,11.5,indexed,US,USD,151,,194,202,6 days ago,https://stockx.com/new-balance-m2002-protection-pack-rain-cloud?size=11.5,indexed_not_executable,3014,6 days ago,https://stockx.com/new-balance-m2002-protection-pack-rain-cloud,all sizes; index snapshot; window end unknown,,,,NO,742.35,653.39,503.39
2026-09-18,Asia/Shanghai,Dewu China to StockX China seller,1-control,M2002RDA,Rain Cloud/Grey,US Men,9.5,indexed,US,USD,109,,123,124,6 days ago,https://stockx.com/new-balance-m2002-protection-pack-rain-cloud?size=9.5,indexed_not_executable,3014,6 days ago,https://stockx.com/new-balance-m2002-protection-pack-rain-cloud,all sizes; index snapshot; window end unknown,,,,NO,494.90,430.68,280.68
2026-09-18,Asia/Shanghai,Dewu China to StockX China seller,2,1201A019-108,Cream/Black,US Men,9.5,indexed,US es-us,USD,250,,350,290,5 days ago,https://stockx.com/es-us/asics-gel-kayano-14-cream-black-metallic-plum?size=9.5,indexed_not_executable,227,6 days ago,https://stockx.com/asics-gel-kayano-14-cream-black-metallic-plum,all sizes; index snapshot; window end unknown,,,,NO,1325.63,1178.34,1028.34
2026-09-18,Asia/Shanghai,Dewu China to StockX China seller,3,M1906RA,Metallic Silver/Metallic Gold,US Men,9.5,indexed,US,USD,116,,141,136,6 days ago,https://stockx.com/new-balance-1906r-white-gold?size=9.5,indexed_not_executable,365,6 days ago,https://stockx.com/new-balance-1906r-white-gold,all sizes; index snapshot; window end unknown,,,,NO,536.14,467.80,317.80
2026-09-18,Asia/Shanghai,Dewu China to StockX China seller,4,M1906REE,Silver Metallic/Sea Salt/New Spruce,US Men,9.5,indexed,US,USD,102,,138,164,last week,https://stockx.com/new-balance-1906r-silver-metallic-sea-salt?size=9.5,indexed_not_executable,488,6 days ago,https://stockx.com/new-balance-1906r-silver-metallic-sea-salt,all sizes; index snapshot; window end unknown,,,,NO,453.66,393.56,243.56
2026-09-18,Asia/Shanghai,Dewu China to StockX China seller,5,L41086600,Black/Black/Phantom,US Men,10.5,indexed,US es-us,USD,130,,185,150,6 days ago,https://stockx.com/es-us/salomon-s-lab-xt-6-adv-triple-black?size=10.5,indexed_not_executable,702,6 days ago,https://stockx.com/salomon-s-lab-xt-6-adv-triple-black,all sizes; index snapshot; window end unknown,,,,NO,618.63,542.04,392.04
2026-09-18,Asia/Shanghai,Dewu China to StockX China seller,6,L41252900,White/White/Lunar Rock,US Men,10.5,indexed,US,USD,126,,155,155,6 days ago,https://stockx.com/salomon-xt-6-white-lunar-rock?size=10.5,indexed_not_executable,736,5 days ago,https://stockx.com/zh-cn/salomon-xt-6-white-lunar-rock,all sizes; index snapshot; window end unknown,,,,NO,595.06,520.83,370.83
2026-09-18,Asia/Shanghai,Dewu China to StockX China seller,secondary,L47450600,Black/Black/Footwear Silver,US Men,8.5,indexed,GB,GBP,104,,121,123,last week,https://stockx.com/en-gb/salomon-xt-6-gore-tex-black-silver?size=8.5,indexed_not_executable,1443,6 days ago,https://stockx.com/salomon-xt-6-gore-tex-black-silver,all sizes; index snapshot; window end unknown,,,,NO,,,
2026-09-18,Asia/Shanghai,Dewu China to StockX China seller,secondary,FV5029-141,Off-White/Military Blue/Neutral Grey,US Men,11,indexed,GB,GBP,129,,151,154,6 days ago,https://stockx.com/en-gb/air-jordan-4-retro-military-blue-2024?size=11,indexed_not_executable,2081,6 days ago,https://stockx.com/air-jordan-4-retro-military-blue-2024,all sizes; index snapshot; window end unknown,,,,NO,,,
2026-09-18,Asia/Shanghai,Dewu China to StockX China seller,secondary,CZ0790-102,Sail/Black-Dark Mocha,US Men,11.5,indexed,GB,GBP,144,,162,149,search 2 days ago; open 1.4 years ago,https://stockx.com/en-gb/air-jordan-1-retro-low-og-mocha?size=11.5,rejected_crawl_age_conflict,556,6 days ago,https://stockx.com/en-gb/air-jordan-1-retro-low-og-mocha,all sizes; index snapshot; window end unknown,,,,NO,,,
